"cluster_condition","slim_term","ontology","go_term_count","temperature","cluster","direction"
"cluster5_30","anatomical structure development","BP",1,"30","cluster5","down"
"cluster5_30","carbohydrate derivative metabolic process","BP",1,"30","cluster5","down"
"cluster5_30","catalytic activity","MF",1,"30","cluster5","down"
"cluster5_30","microtubule-based movement","BP",1,"30","cluster5","down"
"cluster5_30","nucleobase-containing small molecule metabolic process","BP",1,"30","cluster5","down"
"cluster5_30","signaling","BP",1,"30","cluster5","down"
"cluster5_35","anatomical structure development","BP",1,"35","cluster5","down"
"cluster5_35","catalytic activity","MF",2,"35","cluster5","down"
"cluster5_35","protein catabolic process","BP",2,"35","cluster5","down"
"cluster5_35","signaling","BP",1,"35","cluster5","down"
"cluster5_35","tRNA metabolic process","BP",1,"35","cluster5","down"
"cluster5_control","DNA replication","BP",1,"control","cluster5","down"
"cluster5_control","amino acid metabolic process","BP",4,"control","cluster5","down"
"cluster5_control","anatomical structure development","BP",4,"control","cluster5","down"
"cluster5_control","catalytic activity","MF",12,"control","cluster5","down"
"cluster5_control","chromatin organization","BP",2,"control","cluster5","down"
"cluster5_control","membrane organization","BP",1,"control","cluster5","down"
"cluster5_control","microtubule-based movement","BP",1,"control","cluster5","down"
"cluster5_control","mitochondrial gene expression","BP",1,"control","cluster5","down"
"cluster5_control","renal system process","BP",1,"control","cluster5","down"
"cluster5_control","structural molecule activity","MF",1,"control","cluster5","down"
"cluster8_30","RNA binding","MF",1,"30","cluster8","up"
"cluster8_30","anatomical structure development","BP",9,"30","cluster8","up"
"cluster8_30","cell adhesion","BP",1,"30","cluster8","up"
"cluster8_30","immune system process","BP",4,"30","cluster8","up"
"cluster8_30","mRNA metabolic process","BP",3,"30","cluster8","up"
"cluster8_30","molecular function regulator activity","MF",4,"30","cluster8","up"
"cluster8_30","nucleobase-containing small molecule metabolic process","BP",15,"30","cluster8","up"
"cluster8_30","protein-containing complex assembly","BP",3,"30","cluster8","up"
"cluster8_30","ribosome biogenesis","BP",3,"30","cluster8","up"
"cluster8_30","signaling","BP",2,"30","cluster8","up"
"cluster8_30","structural molecule activity","MF",1,"30","cluster8","up"
"cluster8_35","anatomical structure development","BP",96,"35","cluster8","up"
"cluster8_35","catalytic activity","MF",4,"35","cluster8","up"
"cluster8_35","cell adhesion","BP",15,"35","cluster8","up"
"cluster8_35","cell differentiation","BP",3,"35","cluster8","up"
"cluster8_35","cell junction organization","BP",2,"35","cluster8","up"
"cluster8_35","cell motility","BP",16,"35","cluster8","up"
"cluster8_35","chromosome segregation","BP",1,"35","cluster8","up"
"cluster8_35","cytoskeletal protein binding","MF",2,"35","cluster8","up"
"cluster8_35","cytoskeleton organization","BP",11,"35","cluster8","up"
"cluster8_35","defense response to other organism","BP",1,"35","cluster8","up"
"cluster8_35","establishment or maintenance of cell polarity","BP",2,"35","cluster8","up"
"cluster8_35","immune system process","BP",10,"35","cluster8","up"
"cluster8_35","intracellular protein transport","BP",2,"35","cluster8","up"
"cluster8_35","lipid binding","MF",1,"35","cluster8","up"
"cluster8_35","membrane organization","BP",2,"35","cluster8","up"
"cluster8_35","mitotic cell cycle","BP",1,"35","cluster8","up"
"cluster8_35","molecular function regulator activity","MF",1,"35","cluster8","up"
"cluster8_35","nervous system process","BP",3,"35","cluster8","up"
"cluster8_35","nucleocytoplasmic transport","BP",5,"35","cluster8","up"
"cluster8_35","programmed cell death","BP",10,"35","cluster8","up"
"cluster8_35","protein maturation","BP",2,"35","cluster8","up"
"cluster8_35","protein-containing complex assembly","BP",1,"35","cluster8","up"
"cluster8_35","reproductive process","BP",4,"35","cluster8","up"
"cluster8_35","signaling","BP",41,"35","cluster8","up"
"cluster8_35","transmembrane transport","BP",2,"35","cluster8","up"
"cluster8_35","vesicle-mediated transport","BP",13,"35","cluster8","up"
"cluster8_control","DNA-templated transcription","BP",6,"control","cluster8","up"
"cluster8_control","anatomical structure development","BP",14,"control","cluster8","up"
"cluster8_control","catalytic activity","MF",1,"control","cluster8","up"
"cluster8_control","cell differentiation","BP",2,"control","cluster8","up"
"cluster8_control","cell motility","BP",5,"control","cluster8","up"
"cluster8_control","cytoskeleton organization","BP",2,"control","cluster8","up"
"cluster8_control","histone binding","MF",1,"control","cluster8","up"
"cluster8_control","lipid metabolic process","BP",1,"control","cluster8","up"
"cluster8_control","programmed cell death","BP",5,"control","cluster8","up"
"cluster8_control","protein maturation","BP",2,"control","cluster8","up"
"cluster8_control","reproductive process","BP",6,"control","cluster8","up"
"cluster8_control","signaling","BP",9,"control","cluster8","up"
"cluster8_control","vesicle-mediated transport","BP",3,"control","cluster8","up"
"cluster9_30","anatomical structure development","BP",1,"30","cluster9","up"
"cluster9_30","cell adhesion","BP",2,"30","cluster9","up"
"cluster9_30","immune system process","BP",2,"30","cluster9","up"
"cluster9_30","programmed cell death","BP",1,"30","cluster9","up"
"cluster9_30","signaling","BP",3,"30","cluster9","up"
"cluster9_30","vesicle-mediated transport","BP",1,"30","cluster9","up"
"cluster9_35","anatomical structure development","BP",2,"35","cluster9","up"
"cluster9_35","carbohydrate derivative metabolic process","BP",6,"35","cluster9","up"
"cluster9_35","cell junction organization","BP",1,"35","cluster9","up"
"cluster9_35","immune system process","BP",13,"35","cluster9","up"
"cluster9_35","inflammatory response","BP",1,"35","cluster9","up"
"cluster9_35","lipid binding","MF",3,"35","cluster9","up"
"cluster9_35","lipid metabolic process","BP",1,"35","cluster9","up"
"cluster9_35","molecular function regulator activity","MF",7,"35","cluster9","up"
"cluster9_35","nervous system process","BP",1,"35","cluster9","up"
"cluster9_35","protein catabolic process","BP",1,"35","cluster9","up"
"cluster9_35","transmembrane transport","BP",4,"35","cluster9","up"
"cluster9_35","transporter activity","MF",7,"35","cluster9","up"
