"cluster_condition","slim_term","ontology","go_term_count","temperature","cluster","direction"
"cluster1_30","DNA replication","BP",2,"30","cluster1","down"
"cluster1_30","anatomical structure development","BP",19,"30","cluster1","down"
"cluster1_30","catalytic activity","MF",8,"30","cluster1","down"
"cluster1_30","muscle system process","BP",1,"30","cluster1","down"
"cluster1_30","protein-containing complex assembly","BP",1,"30","cluster1","down"
"cluster1_30","signaling","BP",1,"30","cluster1","down"
"cluster1_30","tRNA metabolic process","BP",3,"30","cluster1","down"
"cluster1_35","DNA replication","BP",1,"35","cluster1","down"
"cluster1_35","DNA-templated transcription","BP",3,"35","cluster1","down"
"cluster1_35","RNA binding","MF",1,"35","cluster1","down"
"cluster1_35","catalytic activity","MF",6,"35","cluster1","down"
"cluster1_35","chromosome segregation","BP",1,"35","cluster1","down"
"cluster1_35","intracellular protein transport","BP",1,"35","cluster1","down"
"cluster1_35","mitochondrial gene expression","BP",3,"35","cluster1","down"
"cluster1_35","nucleobase-containing small molecule metabolic process","BP",1,"35","cluster1","down"
"cluster1_35","protein catabolic process","BP",1,"35","cluster1","down"
"cluster1_35","tRNA metabolic process","BP",2,"35","cluster1","down"
"cluster1_35","transporter activity","MF",3,"35","cluster1","down"
"cluster1_control","anatomical structure development","BP",2,"control","cluster1","down"
"cluster1_control","carbohydrate derivative metabolic process","BP",3,"control","cluster1","down"
"cluster1_control","carbohydrate metabolic process","BP",2,"control","cluster1","down"
"cluster1_control","catalytic activity","MF",8,"control","cluster1","down"
"cluster1_control","chromosome segregation","BP",2,"control","cluster1","down"
"cluster1_control","cilium organization","BP",2,"control","cluster1","down"
"cluster1_control","cytokinesis","BP",1,"control","cluster1","down"
"cluster1_control","lipid metabolic process","BP",4,"control","cluster1","down"
"cluster1_control","membrane organization","BP",1,"control","cluster1","down"
"cluster1_control","molecular adaptor activity","MF",1,"control","cluster1","down"
"cluster1_control","reproductive process","BP",1,"control","cluster1","down"
"cluster1_control","ribosome biogenesis","BP",3,"control","cluster1","down"
"cluster1_control","signaling","BP",2,"control","cluster1","down"
"cluster1_control","tRNA metabolic process","BP",1,"control","cluster1","down"
"cluster1_control","vesicle-mediated transport","BP",1,"control","cluster1","down"
"cluster2_30","amino acid metabolic process","BP",7,"30","cluster2","down"
"cluster2_30","catalytic activity","MF",6,"30","cluster2","down"
"cluster2_35","catalytic activity","MF",2,"35","cluster2","down"
"cluster2_35","signaling","BP",2,"35","cluster2","down"
"cluster2_35","vesicle-mediated transport","BP",4,"35","cluster2","down"
"cluster2_control","amino acid metabolic process","BP",9,"control","cluster2","down"
"cluster2_control","anatomical structure development","BP",1,"control","cluster2","down"
"cluster2_control","catalytic activity","MF",4,"control","cluster2","down"
"cluster2_control","mRNA metabolic process","BP",1,"control","cluster2","down"
"cluster2_control","structural molecule activity","MF",1,"control","cluster2","down"
"cluster3_30","RNA binding","MF",2,"30","cluster3","up"
"cluster3_30","anatomical structure development","BP",9,"30","cluster3","up"
"cluster3_30","carbohydrate derivative metabolic process","BP",1,"30","cluster3","up"
"cluster3_30","catalytic activity","MF",2,"30","cluster3","up"
"cluster3_30","cell differentiation","BP",1,"30","cluster3","up"
"cluster3_30","cell motility","BP",2,"30","cluster3","up"
"cluster3_30","cytoskeleton organization","BP",3,"30","cluster3","up"
"cluster3_30","generation of precursor metabolites and energy","BP",6,"30","cluster3","up"
"cluster3_30","immune system process","BP",14,"30","cluster3","up"
"cluster3_30","mRNA metabolic process","BP",5,"30","cluster3","up"
"cluster3_30","membrane organization","BP",1,"30","cluster3","up"
"cluster3_30","molecular function regulator activity","MF",2,"30","cluster3","up"
"cluster3_30","programmed cell death","BP",10,"30","cluster3","up"
"cluster3_30","protein catabolic process","BP",5,"30","cluster3","up"
"cluster3_30","protein-containing complex assembly","BP",2,"30","cluster3","up"
"cluster3_30","regulatory ncRNA-mediated gene silencing","BP",2,"30","cluster3","up"
"cluster3_30","signaling","BP",25,"30","cluster3","up"
"cluster3_30","transporter activity","MF",1,"30","cluster3","up"
"cluster3_30","vesicle-mediated transport","BP",2,"30","cluster3","up"
"cluster3_35","ATP-dependent activity","MF",1,"35","cluster3","up"
"cluster3_35","DNA-templated transcription","BP",8,"35","cluster3","up"
"cluster3_35","anatomical structure development","BP",88,"35","cluster3","up"
"cluster3_35","catalytic activity","MF",2,"35","cluster3","up"
"cluster3_35","cell adhesion","BP",2,"35","cluster3","up"
"cluster3_35","cell differentiation","BP",4,"35","cluster3","up"
