Date_wax;colony_id;sample;diameter;weight1.g;weight2.g
91522;Standard1;Standard;2.86;9.0852;10.0459
91522;Standard2;Standard;2.9;8.8067;9.6656
91522;Standard3;Standard;2.41;5.1866;5.8891
91522;Standard4;Standard;2.44;5.8086;6.2647
91522;Standard5;Standard;1.93;2.8854;3.2516
91522;Standard6;Standard;1.96;2.8403;3.1369
91522;Standard7;Standard;1.5;1.1919;1.3827
91522;Standard8;Standard;1.52;1.1512;1.3192
91522;Standard9;Standard;1.14;0.6331;0.7498
91522;Standard10;Standard;1.17;0.627;0.736
91522;Standard 11;Standard;0.97;0.33;0.3885
91522;Standard12 ;Standard;0.94;0.3317;0.401
31125;Pacu-F6;Coral;NA;1.47;1.6946
31125;Pacu-B6;Coral;NA;3.9615;4.3214
31125;Mcap-B8;Coral;NA;1.094;1.2736
31125;Pcom-G6;Coral;NA;1.9038;2.1296
31125;Mcap-B6;Coral;NA;1.7565;2.0204
31125;Pacu-E6;Coral;NA;5.0909;5.7711
31125;Mcap-G9;Coral;NA;2.9644;3.4295
31125;Mcap-H6;Coral;NA;0.7159;0.8926
31125;Pcom-H10;Coral;NA;2.3933;2.6697
31125;Pcom-G9;Coral;NA;3.0923;3.3912
31125;Pcom-G7;Coral;NA;2.4311;2.7091
31125;Pacu-B1;Coral;NA;1.4157;1.554
31125;Mcap-G1;Coral;NA;0.8328;1.0223
31125;Pcom-G1;Coral;NA;6.8507;7.4914
31125;Pacu-F8;Coral;NA;1.2922;1.4661
31125;Pcom-B1;Coral;NA;5.9605;6.46
31125;Pacu-F10;Coral;NA;1.1447;1.315
31125;Pcom-E6;Coral;NA;6.6079;7.1696
31125;Pacu-D6;Coral;NA;1.9513;2.2567
31125;Pcom-F9;Coral;NA;7.6886;8.2277
31125;Pacu-G8;Coral;NA;2.485;2.7536
31125;Mcap-B7;Coral;NA;1.3934;1.641
31125;Mcap-G7;Coral;NA;1.6741;1.971
31125;Mcap-F8;Coral;NA;2.5156;2.9647
31125;Pcom-H1;Coral;NA;2.0469;2.2686
31125;Pcom-G8;Coral;NA;7.7101;8.3473
31125;Pacu-C7;Coral;NA;3.2819;3.7577
31125;Mcap-H1;Coral;NA;0.7391;0.8919
31125;Pacu-H9;Coral;NA;1.0484;1.201
31125;Pcom-F6;Coral;NA;3.2208;3.5666
31125;Pacu-B9;Coral;NA;8.4722;9.6121
31125;Pcom-B8;Coral;NA;8.5656;9.3157
31125;Pcom-B7;Coral;NA;7.8261;8.6083
31125;Pcom-B9;Coral;NA;3.529;3.8977
31125;Pacu-H1;Coral;NA;5.5071;6.3148
31125;Mcap-G10;Coral;NA;1.2703;1.5169
31125;Pcom-F10;Coral;NA;4.7767;5.2803
31125;Mcap-B9;Coral;NA;3.0403;3.4838
31125;Pcom-H9;Coral;NA;1.7166;1.9177
31125;Pacu-H6;Coral;NA;1.5542;1.7781
31125;Pcom-B6;Coral;NA;4.3029;4.7432
