colony_id,Am,AQY,Rd,Ik,Ic
MCAP-A6,5.549321986573667e-5,3.7516251853922404e-7,-1.5645105038423394e-5,147.91781460954965,-43.46535766095728
MCAP-A7,2.0090305201384305e-4,8.759016554965327e-7,2.0627308362742338e-4,229.36713357386537,NA
MCAP-A8,4.1961347065346677e-4,2.0756686518553764e-6,9.996267961357489e-5,202.15821551208916,49.58688064704764
MCAP-A9,4.7459034172965683e-4,2.2061767447928792e-6,1.7066845907958274e-4,215.11891232187403,82.90560769030311
MCAP-B1,2.8231998323974977e-4,8.756082108963129e-7,9.115861718881225e-5,322.4272907979632,110.00099125049135
MCAP-B10,5.503304607006483e-4,1.9468855159235874e-6,1.6129921034209663e-4,282.6722250484132,86.65549560887423
MCAP-B6,1.1446790361126364e-4,5.876010462630679e-7,8.377952114884947e-5,194.80547956685663,209.24171271300094
MCAP-B7,1.5288833579412293e-4,9.3978665267098e-7,1.301476519174995e-4,162.68408937240915,263.91181151806865
MCAP-B8,2.519995233857147e-4,9.775273025638206e-7,1.068925879545351e-5,257.7928235096658,10.944848478346065
MCAP-B9,6.735551659884248e-4,2.604768601561532e-6,1.9534470698700734e-4,258.58541353141135,78.36303887802227
MCAP-C10,5.904407994232774e-4,1.9618548954912878e-6,1.3819856042267216e-4,300.96048427445965,72.45546052672773
MCAP-C6,6.668226648697718e-5,1.9817727723642872e-7,3.665101341240476e-5,336.47786172490476,221.37860620727255
MCAP-C7,2.4552029050667025e-4,1.0715742085201092e-6,2.0587919217330715e-4,229.12112717395885,352.63403347067185
MCAP-C8,4.8093673679374164e-4,1.509371816509784e-6,1.0093259050035643e-4,318.63370677335297,68.3937215471233
MCAP-C9,6.179297076568362e-4,2.3438827300214083e-6,1.8440792209377106e-4,263.63507855667854,82.43254836754926
MCAP-D1,2.6541980868222077e-4,9.431871446942704e-7,6.99308430211021e-5,281.40736456735243,76.85878609654107
MCAP-D10,5.23386759222526e-4,1.5758348960242124e-6,1.3965201967468705e-4,332.13299219544905,91.9547600308025
MCAP-D6,6.063000629865048e-5,3.1787831921977755e-7,1.410582116850269e-5,190.73338014201454,45.62693203263359
MCAP-D7,2.1887563976837182e-4,1.211844033732046e-6,1.8054257470332975e-4,180.61370413675525,263.52973481290206
MCAP-D8,3.9164158082947824e-4,1.0184922001734617e-6,1.1923479672223498e-4,384.53076102377304,122.90434386106521
MCAP-D9,5.934902266142919e-4,1.887114272721555e-6,1.6585413936706555e-4,314.49617820884436,91.53456588200788
