colony_id;Chla_ug/ml;Chlc_ug/ml
PCOM-F6;2.042366667;0.516466667
MCAP-B6;1.629666667;0.378666667
PACT-F6;1.227533333;0.327133333
PCOM-F7;3.91435;1.042233333
MCAP-G7;2.726694444;0.62775
PACT-H7;2.692455556;0.743183333
PACT-B10;3.14925;0.881916667
MCAP-B10;2.681888889;0.656916667
PCOM-G10;7.909166667;1.879666667
MCAP-G10;3.078333333;0.94925
PACT-F9;3.362661111;0.9187
PCOM-H1;3.952805556;1.015083333
MCAP-G8;3.526744444;0.642533333
MCAP-B1;3.531572222;1.238483333
PACT-B9;3.524561111;1.001716667
MCAP-F9;4.239622222;0.879183333
MCAP-F1;3.917194444;0.921833333
PCOM-H9;4.024738889;1.171483333
MCAP-H9;2.911811111;1.061883333
PCOM-G9;5.8668;1.3632
PACT-F10;1.839877778;0.5509
PCOM-G7;6.608533333;1.97905
PCOM-G1;6.037133333;1.622783333
MCAP-B8;3.0826;0.76865
MCAP-G1;2.3872;1.3928
MCAP-H1;2.036372222;0.503433333
PACT-G1;3.849783333;1.10755
PACT-B1;1.312166667;0.4795
PACT-H10;2.8921;0.82915
MCAP-B9;3.816661111;0.90895
PACT-H1;5.247344444;1.440433333
PCOM-F8;4.881888889;1.437
PCOM-F9;4.387705556;1.280266667
PCOM-H8;4.481938889;1.026283333
PACT-F8;3.854761111;0.89685
PCOM-B7;6.354633333;1.52195
PACT-G9;2.786638889;0.758083333
MCAP-H6;2.38735;0.58615
PCOM-H10;4.249122222;1.0106
PACT-H9;2.4826;0.5559
MCAP-G9;3.91435;1.042233333
PCOM-B1;7.899972222;2.002083333
PACT-H8;1.828955556;0.479683333
MCAP-F8;3.6985;0.841916667
PCOM-B9;4.185266667;1.045816667
MCAP-H7;3.189127778;0.794566667
MCAP-B7;4.223416667;0.764833333
MCAP-F6;2.586994444;0.672116667
PACT-B7;1.070916667;0.28725
PCOM-H6;4.426872222;1.223016667
PCOM-G6;3.779933333;1.129733333
PCOM-A6;7.507033333;1.828133333
PACT-B6;2.529488889;0.705316667
PCOM-H7;4.493877778;1.321233333
PCOM-B8;6.318261111;1.727683333
PCOM-F10;4.758088889;1.341883333
MCAP-D7;2.342544444;0.615316667
PACT-D1;0.871577778;0.455116667
PACT-A8;4.713638889;1.356
PCOM-A7;2.412394444;0.593133333
PACT-D9;1.512877778;0.520316667
PCOM-E9;3.927405556;1.02315
PACT-H6;2.221894444;0.653633333
PACT-A6;4.227583333;1.122
MCAP-D10;3.004622222;0.8681
PCOM-A1;5.632511111;1.6766
PACT-E9;2.347116667;0.68855
MCAP-H8;4.348588889;1.068633333
PACT-A10;4.563727778;1.29905
PACT-E8;1.626111111;0.529166667
PCOM-E1;3.910438889;1.207783333
PCOM-C6;7.075233333;1.965266667
PACT-G8;2.302311111;0.717716667
MCAP-E1;3.186638889;0.899916667
MCAP-C8;2.772872222;0.807266667
MCAP-A6;1.649733333;0.59635
PACT-G6;2.693472222;0.966916667
PCOM-C1;3.179222222;0.947083333
MCAP-E10;3.746811111;0.931133333
PCOM-B6;5.339394444;1.545633333
MCAP-F7;2.9524;0.944433333
MCAP-E7;2.745388889;0.63675
PCOM-D10;3.412038889;0.962766667
MCAP-A8;1.741122222;0.462766667
PCOM-G8;5.442772222;1.438116667
PCOM-E6;2.937616667;0.769883333
MCAP-D1;4.157022222;1.174283333
MCAP-G6;3.274827778;0.901783333
PCOM-D9;3.566522222;1.09295
PACT-A9;5.200761111;1.54485
MCAP-D9;3.256488889;0.877733333
PACT-D6;2.467716667;0.919116667
PCOM-D7;2.782016667;0.953733333
PACT-D8;1.402844444;0.376016667
PCOM-E8;3.207466667;0.818616667
PACT-D7;1.808483333;0.545933333
MCAP-C10;2.519988889;0.5739
PACT-C8;3.937211111;1.4084
PCOM-E7;3.344322222;0.89465
PCOM-D6;2.455066667;0.654266667
MCAP-D8;3.345388889;0.8495
MCAP-H10;3.735533333;0.874966667
PACT-G10;2.472694444;0.708416667
PCOM-C8;2.736905556;0.729066667
PACT-B8;0.449022222;0.20095
PCOM-E10;5.651561111;1.67055
MCAP-E8;4.020166667;1.09825
PCOM-C7;4.459688889;1.167783333
PACT-G7;3.162661111;0.847783333
PCOM-C9;0.432816667;0.0866
MCAP-C9;2.48255;0.824783333
PACT-E6;3.518566667;0.988683333
PACT-C7;4.970383333;1.6927
PCOM-A8;4.360883333;1.348533333
PACT-C10;4.186283333;1.26955
MCAP-C7;2.624383333;0.690116667
PCOM-B10;6.965861111;2.05975
PACT-E7;2.058927778;0.615766667
PCOM-A10;4.086816667;1.211516667
PACT-D10;1.370383333;0.4162
MCAP-D6;2.29845;0.614383333
PACT-C6;4.156311111;1.204383333
MCAP-A9;1.194005556;0.412466667
MCAP-F10;3.191566667;0.9581
PACT-A7;2.114655556;0.657816667
MCAP-E6;2.522072222;0.752483333
PCOM-D8;2.914655556;0.941483333
MCAP-A7;2.253288889;0.6586
MCAP-C6;2.821538889;0.881433333
PACT-F7;2.411327778;0.638283333
PCOM-A9;3.474116667;1.0028
PCOM-C10;4.245922222;1.14605
PACT-C1;0.76825;0.29375
MCAP-E9;2.290272222;0.960533333
