colony_id;Conc ug/ml
PCOM-G10;387.86
PCOM-G10;421.78
PCOM-G10;409.86
PACT-F10;286.08
PACT-F10;296.17
PACT-F10;278.74
PACT-H10;500.64
PACT-H10;517.14
PACT-H10;539.15
PCOM-H10;210.89
PCOM-H10;210.89
PCOM-H10;220.98
MCAP-G10;258.57
MCAP-G10;266.82
MCAP-G10;278.74
PACT-D10;542.82
PACT-D10;542.82
PACT-D10;555.65
PACT-G10;460.05
PACT-G10;471.75
PACT-G10;467.25
MCAP-C10;279.99
MCAP-C10;262.88
MCAP-C10;253.88
PCOM-F10;319.6
PCOM-F10;361.02
PCOM-F10;383.52
MCAP-F10;356.51
MCAP-F10;363.72
MCAP-F10;370.02
PCOM-B10;345.71
PCOM-B10;357.42
PCOM-B10;372.72
PACT-C10;513.17
PACT-C10;532.97
PACT-C10;557.28
PACT-A10;735.52
PACT-A10;724.2
PACT-A10;734.65
PCOM-D10;215.08
PCOM-D10;211.6
PCOM-D10;225.53
MCAP-E10;259.47
MCAP-E10;324.74
MCAP-E10;332.57
PCOM-E10;328.22
PCOM-E10;308.2
PCOM-E10;335.18
MCAP-D10;298.63
MCAP-D10;324.74
MCAP-D10;369.12
MCAP-H10;263.82
MCAP-H10;277.74
MCAP-H10;309.07
PCOM-A10;299.59
PCOM-A10;344.5
PCOM-A10;351.36
PCOM-C10;240.2
PCOM-C10;212.04
PCOM-C10;243.25
MCAP-B10;214.32
MCAP-B10;247.82
MCAP-B10;250.1
PACT-B10;272.18
PACT-B10;288.17
PACT-B10;309.48
PCOM-H10;258.48
PCOM-H10;244.01
PCOM-H10;287.41
