gene_id	length
MSTRG.1	393
MSTRG.10	642
MSTRG.100	1017
MSTRG.1000	1737
MSTRG.10000	528
MSTRG.10001	711
MSTRG.10002	999
MSTRG.10003	633
MSTRG.10004	252
MSTRG.10005	537
MSTRG.10006	297
MSTRG.10007	1323
MSTRG.10008	783
MSTRG.10009	210
MSTRG.1001	759
MSTRG.10010	531
MSTRG.10011	1314
MSTRG.10012	1314
MSTRG.10013	531
MSTRG.10014	210
MSTRG.10015	219
MSTRG.10016	432
MSTRG.10017	396
MSTRG.10018	693
MSTRG.10019	1353
MSTRG.1002	858
MSTRG.10020	477
MSTRG.10021	1089
MSTRG.10022	7053
MSTRG.10023	5706
MSTRG.10024	4323
MSTRG.10025	4707
MSTRG.10026	2067
MSTRG.10027	3216
MSTRG.10028	567
MSTRG.10029	1818
MSTRG.1003	288
MSTRG.10030	1458
MSTRG.10031	369
MSTRG.10032	369
MSTRG.10033	1065
MSTRG.10034	1278
MSTRG.10035	393
MSTRG.10036	996
MSTRG.10037	2148
MSTRG.10038	705
MSTRG.10039	705
MSTRG.1004	1917
MSTRG.10040	630
MSTRG.10041	711
MSTRG.10042	720
MSTRG.10043	387
MSTRG.10044	258
MSTRG.10045	780
MSTRG.10046	834
MSTRG.10047	666
MSTRG.10048	786
MSTRG.10049	1554
MSTRG.1005	636
MSTRG.10050	654
MSTRG.10051	714
MSTRG.10052	528
MSTRG.10053	714
MSTRG.10054	951
MSTRG.10055	1299
MSTRG.10056	489
MSTRG.10057	714
MSTRG.10058	2466
MSTRG.10059	222
MSTRG.1006	966
MSTRG.10060	1869
MSTRG.10061	531
MSTRG.10062	1167
MSTRG.10063	843
MSTRG.10064	2820
MSTRG.10065	3852
MSTRG.10066	762
MSTRG.10067	2850
MSTRG.10068	2649
MSTRG.10069	450
MSTRG.1007	1155
MSTRG.10070	366
MSTRG.10071	582
MSTRG.10072	432
MSTRG.10073	423
MSTRG.10074	1182
MSTRG.10075	261
MSTRG.10076	1155
MSTRG.10077	696
MSTRG.10078	807
MSTRG.10079	651
MSTRG.1008	1179
MSTRG.10080	390
MSTRG.10081	438
MSTRG.10082	687
MSTRG.10083	543
MSTRG.10084	423
MSTRG.10085	468
MSTRG.10086	543
MSTRG.10087	528
MSTRG.10088	423
MSTRG.10089	543
MSTRG.1009	1341
MSTRG.10090	423
MSTRG.10091	468
MSTRG.10092	1431
MSTRG.10093	705
MSTRG.10094	336
MSTRG.10095	423
MSTRG.10096	1182
MSTRG.10097	390
MSTRG.10098	1290
MSTRG.10099	624
MSTRG.101	1755
MSTRG.1010	1248
MSTRG.10100	222
MSTRG.10101	717
MSTRG.10102	516
MSTRG.10103	960
MSTRG.10104	459
MSTRG.10105	249
MSTRG.10106	351
