From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
XP_020908945.2	A0A913XSB5	unreviewed	A0A913XSB5_EXADI	Replication protein A OB domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	220						
XP_028518360.1	A0A913YS87	unreviewed	A0A913YS87_EXADI	Endonuclease/exonuclease/phosphatase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	378			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	
XP_020912010.1	A0A913XXV5	unreviewed	A0A913XXV5_EXADI	Reverse transcriptase RNase H-like domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	384			GO:0003676; GO:0003964; GO:0004519	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	
XP_020896037.1	A0A913WYD0	unreviewed	A0A913WYD0_EXADI	DDE Tnp4 domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	301			GO:0046872	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	
XP_031574354.1	A0A6P8J415	unreviewed	A0A6P8J415_ACTTE	Uncharacterized protein K02A2.6-like	LOC116308124	Actinia tenebrosa (Australian red waratah sea anemone)	396		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	LOC116308124
XP_028518009.1	A0A913YS45	unreviewed	A0A913YS45_EXADI	C2H2-type domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	536						
XP_020904476.2	A0A913XHL3	unreviewed	A0A913XHL3_EXADI	SWIM-type domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	584		DNA repair [GO:0006281]	GO:0006281; GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]; DNA repair [GO:0006281]	
XP_031557601.1	A0A6P8HPS6	unreviewed	A0A6P8HPS6_ACTTE	Uncharacterized protein LOC116294191	LOC116294191	Actinia tenebrosa (Australian red waratah sea anemone)	952			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	LOC116294191
XP_020900612.1	A0A913X8E8	unreviewed	A0A913X8E8_EXADI	Endonuclease/exonuclease/phosphatase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	288			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	
XP_013381517.1	A0A1S3H6A4	unreviewed	A0A1S3H6A4_LINUN	Calmodulin isoform X3	LOC106152471	Lingula unguis	149	myosin II complex [GO:0016460]		GO:0005509; GO:0016460	calcium ion binding [GO:0005509]	myosin II complex [GO:0016460]; calcium ion binding [GO:0005509]	LOC106152471
