From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
XP_027044987.1	A0A3M6TUV2	unreviewed	A0A3M6TUV2_POCDA	EF-hand domain-containing protein	pdam_00022665	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	203		calcium ion homeostasis [GO:0055074]	GO:0000287; GO:0005509; GO:0055074	calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]	calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]; calcium ion homeostasis [GO:0055074]	
XP_022780196.1	A0A2B4SPT1	unreviewed	A0A2B4SPT1_STYPI	Uncharacterized protein	AWC38_SpisGene3240	Stylophora pistillata (Smooth cauliflower coral)	238						
XP_027059313.1	A0A3M6URF3	unreviewed	A0A3M6URF3_POCDA	Tyrosinase copper-binding domain-containing protein	pdam_00024177	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	349			GO:0016491; GO:0046872	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	
XP_027048174.1	A0A3M6TM95	unreviewed	A0A3M6TM95_POCDA	Uncharacterized protein	pdam_00016707	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	245						
XP_027040285.1	A0A3M6U577	unreviewed	A0A3M6U577_POCDA	Sulfatase-modifying factor enzyme domain-containing protein	pdam_00023702	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	317	endoplasmic reticulum [GO:0005783]		GO:0005783; GO:0120147	formylglycine-generating oxidase activity [GO:0120147]	endoplasmic reticulum [GO:0005783]; formylglycine-generating oxidase activity [GO:0120147]	
XP_027060569.1	A0A3M6V4D6	unreviewed	A0A3M6V4D6_POCDA	CUB domain-containing protein	pdam_00020205	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	141	extracellular region [GO:0005576]		GO:0005576		extracellular region [GO:0005576]	
XP_027036167.1	A0A3M6UFQ5	unreviewed	A0A3M6UFQ5_POCDA	EF-hand domain-containing protein	pdam_00015539	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	146	myosin II complex [GO:0016460]		GO:0005509; GO:0016460	calcium ion binding [GO:0005509]	myosin II complex [GO:0016460]; calcium ion binding [GO:0005509]	
XP_027039660.1	A0A3M6U6U0	unreviewed	A0A3M6U6U0_POCDA	NACHT domain-containing protein	pdam_00022306	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1074		nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	
XP_027050117.1	A0A3M6ULF1	unreviewed	A0A3M6ULF1_POCDA	Graves disease carrier protein	pdam_00018358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	307	mitochondrial inner membrane [GO:0005743]	transmembrane transport [GO:0055085]	GO:0005743; GO:0055085		mitochondrial inner membrane [GO:0005743]; transmembrane transport [GO:0055085]	
XP_027051514.1	A0A3M6TET3	unreviewed	A0A3M6TET3_POCDA	Catechol O-methyltransferase domain-containing protein 1	pdam_00008047	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	260		methylation [GO:0032259]	GO:0008171; GO:0008757; GO:0032259	O-methyltransferase activity [GO:0008171]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	O-methyltransferase activity [GO:0008171]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]	
XP_027051563.1	A0A3M6TE86	unreviewed	A0A3M6TE86_POCDA	Antho-RFamide neuropeptides type 2	pdam_00008048	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	302	extracellular region [GO:0005576]	neuropeptide signaling pathway [GO:0007218]	GO:0005576; GO:0007218		extracellular region [GO:0005576]; neuropeptide signaling pathway [GO:0007218]	
