From	Entry	Common taxonomies	Length	UniProtKB	First seen	Last seen
Q95P04	UPI0000082EE8	synthetic construct; Goniopora tenuidens	221	Q95P04; Q95P04.1	2001-12-01	2025-04-02
B8VIW9	UPI00047F00F7	Acropora millepora	1280	B8VIW9	2014-07-09	2025-04-02
B7WFQ1	UPI00047F0125	Acropora millepora	505	B7WFQ1	2014-07-09	2025-04-02
B3EWZ1	UPI00047F0109	Acropora millepora	142	B3EWZ1	2014-07-09	2025-04-02
C0H694	UPI00019B2245	Montipora capitata	81	C0H694.1; C0H694	2009-05-05	2025-04-02
B3EWZ4	UPI00047F00FD	Acropora millepora	165	B3EWZ4	2014-07-09	2025-04-02
B8RJM0	UPI00047F0100	Acropora millepora	433	B8RJM0	2014-07-09	2025-04-02
B7W112	UPI00047F011B	Acropora millepora	522	B7W112	2014-07-09	2025-04-02
