From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
CAB3995981.1	A0A7D9I241	unreviewed	A0A7D9I241_PARCT	NGFI-A-binding 1-like	PACLA_8A023865	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	365	nucleus [GO:0005634]	apoptotic process [GO:0006915]; negative regulation of DNA-templated transcription [GO:0045892]	GO:0005634; GO:0006915; GO:0045892		nucleus [GO:0005634]; apoptotic process [GO:0006915]; negative regulation of DNA-templated transcription [GO:0045892]	
PFX26398.1	A0A2B4SCU6	unreviewed	A0A2B4SCU6_STYPI	RNase H type-1 domain-containing protein	AWC38_SpisGene8944	Stylophora pistillata (Smooth cauliflower coral)	683						
PFX12376.1	A0A2B4R5E6	unreviewed	A0A2B4R5E6_STYPI	E3 ubiquitin-protein ligase TRIM71	trim71 AWC38_SpisGene23683	Stylophora pistillata (Smooth cauliflower coral)	1413		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]	GO:0000209; GO:0008270; GO:0043161; GO:0061630	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]	trim71
CAH3168074.1	A0AAU9Y6A6	unreviewed	A0AAU9Y6A6_9CNID	C2H2-type domain-containing protein	PMEA_00008564	Pocillopora meandrina	1188						
CAH3131899.1	A0AAU9X106	unreviewed	A0AAU9X106_9CNID	Uncharacterized protein	PMEA_00014882	Pocillopora meandrina	735						
RMX40965.1	A0A3M6THU5	unreviewed	A0A3M6THU5_POCDA	Peptidase A2 domain-containing protein	pdam_00014870	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	679						
KAJ7369781.1	A0A9W9YUN4	unreviewed	A0A9W9YUN4_9CNID	Uncharacterized protein	OS493_036424	Desmophyllum pertusum	279						
KAJ7382550.1	A0A9W9ZJG0	unreviewed	A0A9W9ZJG0_9CNID	EGF-like domain-containing protein	OS493_034186	Desmophyllum pertusum	1234	membrane [GO:0016020]	regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]	GO:0001868; GO:0005509; GO:0010185; GO:0016020; GO:0042806	calcium ion binding [GO:0005509]; fucose binding [GO:0042806]	membrane [GO:0016020]; calcium ion binding [GO:0005509]; fucose binding [GO:0042806]; regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]	
KAK2550067.1	A0AAD9UUE9	unreviewed	A0AAD9UUE9_ACRCE	Gag-like protein	P5673_029400	Acropora cervicornis (Staghorn coral)	502						
KAJ7370040.1	A0A9W9YV70	unreviewed	A0A9W9YV70_9CNID	Williams-Beuren syndrome chromosome region 16 protein	WBSCR16_2 OS493_034481	Desmophyllum pertusum	108	mitochondrial inner membrane [GO:0005743]	positive regulation of mitochondrial translation [GO:0070131]	GO:0005085; GO:0005743; GO:0019843; GO:0070131	guanyl-nucleotide exchange factor activity [GO:0005085]; rRNA binding [GO:0019843]	mitochondrial inner membrane [GO:0005743]; guanyl-nucleotide exchange factor activity [GO:0005085]; rRNA binding [GO:0019843]; positive regulation of mitochondrial translation [GO:0070131]	WBSCR16_2
CAB3997490.1	A0A6S7HPE6	unreviewed	A0A6S7HPE6_PARCT	Uncharacterized protein	PACLA_8A084543	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	458	extracellular matrix [GO:0031012]		GO:0003824; GO:0031012	catalytic activity [GO:0003824]	extracellular matrix [GO:0031012]; catalytic activity [GO:0003824]	
KAK2549103.1	A0AAD9PUH4	unreviewed	A0AAD9PUH4_ACRCE	PHD-type domain-containing protein	P5673_030473	Acropora cervicornis (Staghorn coral)	1042		proteolysis [GO:0006508]	GO:0003700; GO:0006508; GO:0008234; GO:0008270	cysteine-type peptidase activity [GO:0008234]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]	cysteine-type peptidase activity [GO:0008234]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	
CAH3135248.1	A0AAU9X399	unreviewed	A0AAU9X399_9CNID	DDE Tnp4 domain-containing protein	PMEA_00016105	Pocillopora meandrina	351			GO:0046872	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	
KAJ7351050.1	A0A9W9YHV3	unreviewed	A0A9W9YHV3_9CNID	Uncharacterized protein	OS493_037113	Desmophyllum pertusum	667						
KAK2558785.1	A0AAD9V2X3	unreviewed	A0AAD9V2X3_ACRCE	Integrase catalytic domain-containing protein	P5673_019000	Acropora cervicornis (Staghorn coral)	868		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
KAJ7377559.1	A0A9W9ZCG3	unreviewed	A0A9W9ZCG3_9CNID	Sentrin-specific protease 2 (EC 3.4.22.68)	SENP2 OS493_028543	Desmophyllum pertusum	156		proteolysis [GO:0006508]	GO:0006508; GO:0008234	cysteine-type peptidase activity [GO:0008234]	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]	SENP2
KAK2571227.1	A0AAD9R1E1	unreviewed	A0AAD9R1E1_ACRCE	52 kDa repressor of the inhibitor of the protein kinase	P5673_003793	Acropora cervicornis (Staghorn coral)	520			GO:0046983	protein dimerization activity [GO:0046983]	protein dimerization activity [GO:0046983]	
KAK2568091.1	A0AAD9QVD5	unreviewed	A0AAD9QVD5_ACRCE	Transposon TX1 uncharacterized 149 kDa protein	P5673_008020	Acropora cervicornis (Staghorn coral)	1113			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	
PFX34770.1	A0A2B4T0V1	unreviewed	A0A2B4T0V1_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene261	Stylophora pistillata (Smooth cauliflower coral)	1410		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	K02A2.6
RMX58236.1	A0A3M6UX06	unreviewed	A0A3M6UX06_POCDA	Uncharacterized protein	pdam_00000051	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	109						
PFX15070.1	A0A2B4REZ8	unreviewed	A0A2B4REZ8_STYPI	Uncharacterized protein	AWC38_SpisGene20727	Stylophora pistillata (Smooth cauliflower coral)	387						
CAB4033703.1	A0A6S7L232	unreviewed	A0A6S7L232_PARCT	Uncharacterized protein	PACLA_8A041254	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	246						
KAJ7363185.1	A0A9W9YQD8	unreviewed	A0A9W9YQD8_9CNID	Uncharacterized protein	OS493_011465	Desmophyllum pertusum	326						
HAS44388.1	A0A349DVS5	unreviewed	A0A349DVS5_9BACT	Uncharacterized protein	DCS93_28175	Microscillaceae bacterium	349						
KAK2569527.1	A0AAD9QXU7	unreviewed	A0AAD9QXU7_ACRCE	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	P5673_005345	Acropora cervicornis (Staghorn coral)	65	cytosolic small ribosomal subunit [GO:0022627]	maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	GO:0000028; GO:0003735; GO:0006412; GO:0022627; GO:0030490	structural constituent of ribosome [GO:0003735]	cytosolic small ribosomal subunit [GO:0022627]; structural constituent of ribosome [GO:0003735]; maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	
ABV24983.1	A8C9L8	unreviewed	A8C9L8_MONCP	Beta gamma crystallin isoform 8		Montipora capitata (Rice coral)	172						
CAB4031846.1	A0A6S7JHK0	unreviewed	A0A6S7JHK0_PARCT	Uncharacterized protein	PACLA_8A067468	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	668			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	
CAB4029880.1	A0A6S7JLI6	unreviewed	A0A6S7JLI6_PARCT	Reverse transcriptase	PACLA_8A010807	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	1056			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]	
PFX30735.1	A0A2B4SQR2	unreviewed	A0A2B4SQR2_STYPI	Non-specific lipid-transfer protein	SCP2 AWC38_SpisGene4488	Stylophora pistillata (Smooth cauliflower coral)	745			GO:0003676; GO:0008270; GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	SCP2
KAK2555619.1	A0AAD9UZD7	unreviewed	A0AAD9UZD7_ACRCE	Transposon Ty3-G Gag-Pol polyprotein	P5673_022640	Acropora cervicornis (Staghorn coral)	1306		DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0004190; GO:0006508; GO:0015074	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; proteolysis [GO:0006508]	
PFX23773.1	A0A2B4S3Z2	unreviewed	A0A2B4S3Z2_STYPI	Retrotransposon gag domain-containing protein	AWC38_SpisGene11661	Stylophora pistillata (Smooth cauliflower coral)	468						
KAK2557344.1	A0AAD9V116	unreviewed	A0AAD9V116_ACRCE	Uncharacterized protein	P5673_020450	Acropora cervicornis (Staghorn coral)	650						
KAK2557300.1	A0AAD9V1H7	unreviewed	A0AAD9V1H7_ACRCE	CCHC-type domain-containing protein	P5673_020396	Acropora cervicornis (Staghorn coral)	708			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	
KAK2558563.1	A0AAD9QC51	unreviewed	A0AAD9QC51_ACRCE	Integrase zinc-binding domain-containing protein	P5673_018738	Acropora cervicornis (Staghorn coral)	460			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]	
KAK2563988.1	A0AAD9V7C8	unreviewed	A0AAD9V7C8_ACRCE	Uncharacterized protein	P5673_012192	Acropora cervicornis (Staghorn coral)	196						
CAB4039726.1	A0A7D9LZH6	unreviewed	A0A7D9LZH6_PARCT	Uncharacterized protein	PACLA_8A031363	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	718						
