From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
CAH3153481.1	A0AAU9XQC0	unreviewed	A0AAU9XQC0_9CNID	Cobalamin-independent methionine synthase MetE C-terminal/archaeal domain-containing protein	PMEA_00027137	Pocillopora meandrina	564		methionine biosynthetic process [GO:0009086]	GO:0003871; GO:0008270; GO:0009086	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]	
CAH3163306.1	A0AAU9Y1W2	unreviewed	A0AAU9Y1W2_9CNID	Protein kinase domain-containing protein	PMEA_00035586	Pocillopora meandrina	1051			GO:0004672; GO:0005524	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	
RMX60331.1	A0A3M6V328	unreviewed	A0A3M6V328_POCDA	DUF4745 domain-containing protein	pdam_00024159	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	364						
CAH3043971.1	A0AAU9W006	unreviewed	A0AAU9W006_9CNID	Uncharacterized protein	PMEA_00030800	Pocillopora meandrina	463	membrane [GO:0016020]		GO:0005524; GO:0016020	ATP binding [GO:0005524]	membrane [GO:0016020]; ATP binding [GO:0005524]	
RMX36670.1	A0A3M6T5K6	unreviewed	A0A3M6T5K6_POCDA	DUF5641 domain-containing protein	pdam_00024517	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	366						
PFX30651.1	A0A2B4SL82	unreviewed	A0A2B4SL82_STYPI	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y	PIGY AWC38_SpisGene4597	Stylophora pistillata (Smooth cauliflower coral)	98	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex [GO:0000506]	GPI anchor biosynthetic process [GO:0006506]	GO:0000506; GO:0006506; GO:0016757	glycosyltransferase activity [GO:0016757]	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex [GO:0000506]; glycosyltransferase activity [GO:0016757]; GPI anchor biosynthetic process [GO:0006506]	PIGY
CAH3136370.1	A0AAU9X4R2	unreviewed	A0AAU9X4R2_9CNID	Uncharacterized protein	PMEA_00017675	Pocillopora meandrina	133						
RMX48839.1	A0A3M6U5J8	unreviewed	A0A3M6U5J8_POCDA	Integrin beta	pdam_00001495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	857	cell surface [GO:0009986]; focal adhesion [GO:0005925]; integrin complex [GO:0008305]	cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; integrin-mediated signaling pathway [GO:0007229]	GO:0005178; GO:0005925; GO:0007160; GO:0007229; GO:0008305; GO:0009986; GO:0016477; GO:0033627; GO:0098609	integrin binding [GO:0005178]	cell surface [GO:0009986]; focal adhesion [GO:0005925]; integrin complex [GO:0008305]; integrin binding [GO:0005178]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; integrin-mediated signaling pathway [GO:0007229]	
CAH3156742.1	A0AAU9XSW0	unreviewed	A0AAU9XSW0_9CNID	PR domain zinc finger protein 14	PMEA_00029783	Pocillopora meandrina	474	nucleus [GO:0005634]	regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000977; GO:0005634; GO:0006357; GO:0008270	RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]; regulation of transcription by RNA polymerase II [GO:0006357]	
CAH3158123.1	A0AAU9XWN2	unreviewed	A0AAU9XWN2_9CNID	L-type lectin-like domain-containing protein	PMEA_00030314	Pocillopora meandrina	328	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi membrane [GO:0000139]	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	GO:0000139; GO:0005537; GO:0005789; GO:0005793; GO:0006888; GO:0030134	D-mannose binding [GO:0005537]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi membrane [GO:0000139]; D-mannose binding [GO:0005537]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	
