From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)
KAK2547365.1	A0AAD9PQX2	unreviewed	A0AAD9PQX2_ACRCE	Integrase catalytic domain-containing protein	P5673_032733	Acropora cervicornis (Staghorn coral)	902		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
KAK2551475.1	A0AAD9PYL6	unreviewed	A0AAD9PYL6_ACRCE	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	P5673_027660	Acropora cervicornis (Staghorn coral)	1914	cytoplasm [GO:0005737]; nucleus [GO:0005634]	negative regulation of gene expression [GO:0010629]; protein poly-ADP-ribosylation [GO:0070212]	GO:0003714; GO:0003723; GO:0003950; GO:0005634; GO:0005737; GO:0010629; GO:0070212	NAD+-protein poly-ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; NAD+-protein poly-ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; negative regulation of gene expression [GO:0010629]; protein poly-ADP-ribosylation [GO:0070212]
KAK2563719.1	A0AAD9V773	unreviewed	A0AAD9V773_ACRCE	LHFPL tetraspan subfamily member 2a protein	P5673_012704	Acropora cervicornis (Staghorn coral)	231	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
KAJ7377171.1	A0A9X0CVJ9	unreviewed	A0A9X0CVJ9_9CNID	Uncharacterized protein	OS493_030370	Desmophyllum pertusum	133					
KAK2562526.1	A0AAD9QJK8	unreviewed	A0AAD9QJK8_ACRCE	Uncharacterized protein	P5673_014202	Acropora cervicornis (Staghorn coral)	194					
KAK2562499.1	A0AAD9QJK3	unreviewed	A0AAD9QJK3_ACRCE	Ubiquitin-like protease family profile domain-containing protein	P5673_014164	Acropora cervicornis (Staghorn coral)	307		proteolysis [GO:0006508]	GO:0006508; GO:0008234	cysteine-type peptidase activity [GO:0008234]	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]
KAK2560467.1	A0AAD9QFR7	unreviewed	A0AAD9QFR7_ACRCE	Pleckstrin homology domain-containing family G member 1	P5673_016820	Acropora cervicornis (Staghorn coral)	1238			GO:0005085; GO:0031267	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267]	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267]
ACT79642.1	C7ENH0	unreviewed	C7ENH0_ACRMI	Transposase		Acropora millepora (Staghorn coral) (Heteropora millepora)	602					
KAK2547113.1	A0AAD9URG1	unreviewed	A0AAD9URG1_ACRCE	Uncharacterized protein	P5673_033107	Acropora cervicornis (Staghorn coral)	309					
KAK2550229.1	A0AAD9PW88	unreviewed	A0AAD9PW88_ACRCE	Short-chain collagen C4	P5673_029102	Acropora cervicornis (Staghorn coral)	407	collagen trimer [GO:0005581]; extracellular space [GO:0005615]		GO:0005581; GO:0005615		collagen trimer [GO:0005581]; extracellular space [GO:0005615]
KAK2559039.1	A0AAD9V2N4	unreviewed	A0AAD9V2N4_ACRCE	Uncharacterized protein	P5673_018674	Acropora cervicornis (Staghorn coral)	183					
KAK2553430.1	A0AAD9UXP8	unreviewed	A0AAD9UXP8_ACRCE	Uncharacterized protein	P5673_025181	Acropora cervicornis (Staghorn coral)	223					
KAK2554192.1	A0AAD9UYB0	unreviewed	A0AAD9UYB0_ACRCE	Transposon Tf2-9 polyprotein	P5673_024551	Acropora cervicornis (Staghorn coral)	956		DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004519; GO:0015074	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]
KAK2564279.1	A0AAD9QN99	unreviewed	A0AAD9QN99_ACRCE	Ubiquitin-like protease family profile domain-containing protein	P5673_012534	Acropora cervicornis (Staghorn coral)	683		DNA repair [GO:0006281]; proteolysis [GO:0006508]	GO:0006281; GO:0006508; GO:0008234	cysteine-type peptidase activity [GO:0008234]	cysteine-type peptidase activity [GO:0008234]; DNA repair [GO:0006281]; proteolysis [GO:0006508]
KAK2560313.1	A0AAD9V3W7	unreviewed	A0AAD9V3W7_ACRCE	C2H2-type domain-containing protein	P5673_017313	Acropora cervicornis (Staghorn coral)	1008			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
KAK2573107.1	A0AAD9VGI5	unreviewed	A0AAD9VGI5_ACRCE	Solute carrier family 26 member 6	P5673_002142	Acropora cervicornis (Staghorn coral)	717	membrane [GO:0016020]	transmembrane transport [GO:0055085]	GO:0016020; GO:0055085		membrane [GO:0016020]; transmembrane transport [GO:0055085]
KAJ7330220.1	A0A9W9YE29	unreviewed	A0A9W9YE29_9CNID	Uncharacterized protein	OS493_022743	Desmophyllum pertusum	195					
KAK2564540.1	A0AAD9QNR1	unreviewed	A0AAD9QNR1_ACRCE	Uncharacterized protein	P5673_011990	Acropora cervicornis (Staghorn coral)	291	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
