"orthoID","mcap_gene","pacu_gene","pcom_gene"
"ortho1","Montipora_capitata_HIv3___RNAseq.g18609.t1a","Pocillopora_acuta_HIv2___RNAseq.g6588.t1","Porites_compressa_HIv1___RNAseq.g6371.t1"
"ortho2","Montipora_capitata_HIv3___RNAseq.g44968.t1","Pocillopora_acuta_HIv2___TS.g27984.t1","Porites_compressa_HIv1___RNAseq.g31546.t1"
"ortho3","Montipora_capitata_HIv3___RNAseq.g48813.t1","Pocillopora_acuta_HIv2___RNAseq.g7829.t2a","Porites_compressa_HIv1___RNAseq.g34475.t1"
"ortho4","Montipora_capitata_HIv3___RNAseq.g44698.t1","Pocillopora_acuta_HIv2___RNAseq.g3123.t1","Porites_compressa_HIv1___RNAseq.g3467.t1"
"ortho5","Montipora_capitata_HIv3___RNAseq.g14760.t1","Pocillopora_acuta_HIv2___RNAseq.g29505.t1","Porites_compressa_HIv1___RNAseq.g28513.t1"
"ortho6","Montipora_capitata_HIv3___RNAseq.g23005.t1","Pocillopora_acuta_HIv2___RNAseq.g10477.t1","Porites_compressa_HIv1___RNAseq.g20973.t1"
"ortho7","Montipora_capitata_HIv3___TS.g6741.t1","Pocillopora_acuta_HIv2___RNAseq.g23215.t1","Porites_compressa_HIv1___RNAseq.g2663.t1"
"ortho8","Montipora_capitata_HIv3___RNAseq.g14422.t1","Pocillopora_acuta_HIv2___RNAseq.g14180.t1","Porites_compressa_HIv1___RNAseq.g1875.t1"
"ortho9","Montipora_capitata_HIv3___TS.g22488.t1","Pocillopora_acuta_HIv2___RNAseq.g14182.t1","Porites_compressa_HIv1___RNAseq.g1879.t1"
"ortho10","Montipora_capitata_HIv3___RNAseq.g32184.t1","Pocillopora_acuta_HIv2___RNAseq.g30316.t1","Porites_compressa_HIv1___RNAseq.g27145.t1"
"ortho11","Montipora_capitata_HIv3___RNAseq.g44604.t1","Pocillopora_acuta_HIv2___RNAseq.g775.t1","Porites_compressa_HIv1___RNAseq.g3367.t1"
"ortho12","Montipora_capitata_HIv3___TS.g30012.t1","Pocillopora_acuta_HIv2___RNAseq.g26794.t1","Porites_compressa_HIv1___RNAseq.g33426.t1"
"ortho13","Montipora_capitata_HIv3___RNAseq.g47503.t1","Pocillopora_acuta_HIv2___RNAseq.g7924.t1","Porites_compressa_HIv1___RNAseq.g31032.t1"
"ortho14","Montipora_capitata_HIv3___RNAseq.g24805.t1","Pocillopora_acuta_HIv2___RNAseq.g9920.t1","Porites_compressa_HIv1___RNAseq.g21995.t1"
"ortho15","Montipora_capitata_HIv3___TS.g23274.t1","Pocillopora_acuta_HIv2___RNAseq.g14126.t1","Porites_compressa_HIv1___RNAseq.g1761.t1"
"ortho16","Montipora_capitata_HIv3___RNAseq.g23038.t1","Pocillopora_acuta_HIv2___RNAseq.g10508.t1","Porites_compressa_HIv1___RNAseq.g20951.t1"
"ortho17","Montipora_capitata_HIv3___TS.g4030.t2b","Pocillopora_acuta_HIv2___RNAseq.g25830.t1","Porites_compressa_HIv1___RNAseq.g11895.t1"
"ortho18","Montipora_capitata_HIv3___RNAseq.g20527.t1","Pocillopora_acuta_HIv2___RNAseq.g28332.t1","Porites_compressa_HIv1___RNAseq.g14970.t1"
"ortho19","Montipora_capitata_HIv3___RNAseq.g46897.t3c","Pocillopora_acuta_HIv2___RNAseq.g18013.t1","Porites_compressa_HIv1___RNAseq.g18019.t2b"
"ortho20","Montipora_capitata_HIv3___RNAseq.g15093.t1","Pocillopora_acuta_HIv2___RNAseq.g13752.t1","Porites_compressa_HIv1___RNAseq.g1616.t1"
"ortho21","Montipora_capitata_HIv3___RNAseq.g4686.t1","Pocillopora_acuta_HIv2___RNAseq.g21339.t1","Porites_compressa_HIv1___RNAseq.g9392.t1"
"ortho22","Montipora_capitata_HIv3___RNAseq.g50218.t2","Pocillopora_acuta_HIv2___RNAseq.g2602.t1","Porites_compressa_HIv1___RNAseq.g11816.t1"
"ortho23","Montipora_capitata_HIv3___RNAseq.g2723.t1","Pocillopora_acuta_HIv2___RNAseq.g3590.t1","Porites_compressa_HIv1___RNAseq.g33974.t1"
"ortho24","Montipora_capitata_HIv3___RNAseq.g50233.t1","Pocillopora_acuta_HIv2___RNAseq.g2571.t1","Porites_compressa_HIv1___RNAseq.g11780.t1"
"ortho25","Montipora_capitata_HIv3___RNAseq.g26604.t1b","Pocillopora_acuta_HIv2___RNAseq.g29923.t1","Porites_compressa_HIv1___RNAseq.g30399.t1a"
"ortho26","Montipora_capitata_HIv3___TS.g31803.t4","Pocillopora_acuta_HIv2___RNAseq.g28980.t1","Porites_compressa_HIv1___RNAseq.g25172.t2"
"ortho27","Montipora_capitata_HIv3___RNAseq.g16609.t1","Pocillopora_acuta_HIv2___TS.g14075.t1","Porites_compressa_HIv1___RNAseq.g41483.t1"
"ortho28","Montipora_capitata_HIv3___TS.g5337.t2","Pocillopora_acuta_HIv2___RNAseq.g22956.t1","Porites_compressa_HIv1___RNAseq.g3117.t1"
"ortho29","Montipora_capitata_HIv3___RNAseq.g39781.t1","Pocillopora_acuta_HIv2___RNAseq.g6132.t1","Porites_compressa_HIv1___RNAseq.g8395.t1"
"ortho30","Montipora_capitata_HIv3___RNAseq.g1009.t1","Pocillopora_acuta_HIv2___TS.g10011.t1","Porites_compressa_HIv1___RNAseq.g34560.t1"
"ortho31","Montipora_capitata_HIv3___TS.g18826.t1","Pocillopora_acuta_HIv2___RNAseq.g18537.t1","Porites_compressa_HIv1___RNAseq.g31958.t1"
"ortho32","Montipora_capitata_HIv3___RNAseq.g46030.t1","Pocillopora_acuta_HIv2___RNAseq.g5552.t1","Porites_compressa_HIv1___RNAseq.g39613.t1"
