From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)
XP_022786250.1	A0A2B4SC20	unreviewed	A0A2B4SC20_STYPI	DUF6589 domain-containing protein	AWC38_SpisGene7030	Stylophora pistillata (Smooth cauliflower coral)	597					
XP_027043217.1	A0A3M6TYZ4	unreviewed	A0A3M6TYZ4_POCDA	V-type proton ATPase subunit G	pdam_00020961	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	116	vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]		GO:0000221; GO:0016887; GO:0046961	ATP hydrolysis activity [GO:0016887]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
XP_022783997.1	A0A2B4SI97	unreviewed	A0A2B4SI97_STYPI	Uncharacterized protein	AWC38_SpisGene5669	Stylophora pistillata (Smooth cauliflower coral)	448					
XP_020896028.1	A0A913WYN5	unreviewed	A0A913WYN5_EXADI	C2H2-type domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	566			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
XP_027053753.1	A0A3M6V3Z2	unreviewed	A0A3M6V3Z2_POCDA	VASt domain-containing protein	pdam_00021134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	275					
XP_027053753.1	A0A3M6V401	unreviewed	A0A3M6V401_POCDA	Alpha-type protein kinase domain-containing protein	pdam_00021135	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	98		myosin II filament disassembly [GO:0031037]; response to differentiation-inducing factor 1 [GO:1903013]	GO:0004674; GO:0005524; GO:0031037; GO:1903013	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; myosin II filament disassembly [GO:0031037]; response to differentiation-inducing factor 1 [GO:1903013]
XP_031560556.1	A0A6P8HZ39	unreviewed	A0A6P8HZ39_ACTTE	Uncharacterized protein LOC116296642	LOC116296642	Actinia tenebrosa (Australian red waratah sea anemone)	277					
XP_022810233.1	A0A2B4R6Q7	unreviewed	A0A2B4R6Q7_STYPI	Exonuclease	exo AWC38_SpisGene23544	Stylophora pistillata (Smooth cauliflower coral)	418		DNA repair [GO:0006281]	GO:0004527; GO:0006281; GO:0008270	exonuclease activity [GO:0004527]; zinc ion binding [GO:0008270]	exonuclease activity [GO:0004527]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]
XP_022792408.1	A0A2B4S577	unreviewed	A0A2B4S577_STYPI	DNA 3'-5' helicase (EC 5.6.2.4) (DNA 3'-5' helicase BLM)	SGS1 AWC38_SpisGene10852	Stylophora pistillata (Smooth cauliflower coral)	563	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	double-strand break repair via homologous recombination [GO:0000724]	GO:0000724; GO:0003676; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0009378; GO:0016853; GO:0043138	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; isomerase activity [GO:0016853]; nucleic acid binding [GO:0003676]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; isomerase activity [GO:0016853]; nucleic acid binding [GO:0003676]; double-strand break repair via homologous recombination [GO:0000724]
XP_022782695.1	A0A2B4SNJ4	unreviewed	A0A2B4SNJ4_STYPI	THAP domain-containing protein 11	thap11 AWC38_SpisGene4765	Stylophora pistillata (Smooth cauliflower coral)	524			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
