From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
XP_022782695.1	A0A2B4SNJ4	unreviewed	A0A2B4SNJ4_STYPI	THAP domain-containing protein 11	thap11 AWC38_SpisGene4765	Stylophora pistillata (Smooth cauliflower coral)	524			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	thap11
XP_022800619.1	A0A2B4SW43	unreviewed	A0A2B4SW43_STYPI	Kelch-like protein 17	KLHL17 AWC38_SpisGene1712	Stylophora pistillata (Smooth cauliflower coral)	544						KLHL17
XP_022808393.1	A0A2B4RCH6	unreviewed	A0A2B4RCH6_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene21924	Stylophora pistillata (Smooth cauliflower coral)	1244		DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	K02A2.6
XP_020904000.1	A0A913XGD4	unreviewed	A0A913XGD4_EXADI	ATP-dependent DNA helicase PIF1		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	312						
XP_022778163.1	A0A2B4QZ03	unreviewed	A0A2B4QZ03_STYPI	Uncharacterized protein	AWC38_SpisGene24810	Stylophora pistillata (Smooth cauliflower coral)	158						
XP_027049547.1	A0A3M6TIX4	unreviewed	A0A3M6TIX4_POCDA	U6 snRNA-associated Sm-like protein LSm2	pdam_00012774	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	95	catalytic step 2 spliceosome [GO:0071013]; Lsm1-7-Pat1 complex [GO:1990726]; P-body [GO:0000932]; precatalytic spliceosome [GO:0071011]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]	mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0000932; GO:0003723; GO:0005688; GO:0046540; GO:0071011; GO:0071013; GO:1990726	RNA binding [GO:0003723]	catalytic step 2 spliceosome [GO:0071013]; Lsm1-7-Pat1 complex [GO:1990726]; P-body [GO:0000932]; precatalytic spliceosome [GO:0071011]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]	
XP_027056271.1	A0A3M6UXV8	unreviewed	A0A3M6UXV8_POCDA	EGF-like domain-containing protein	pdam_00010740	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	505	nucleus [GO:0005634]		GO:0003713; GO:0005524; GO:0005634	ATP binding [GO:0005524]; transcription coactivator activity [GO:0003713]	nucleus [GO:0005634]; ATP binding [GO:0005524]; transcription coactivator activity [GO:0003713]	
XP_022779512.1	A0A2B4T0V1	unreviewed	A0A2B4T0V1_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene261	Stylophora pistillata (Smooth cauliflower coral)	1410		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	K02A2.6
XP_022810014.1	A0A2B4SCM4	unreviewed	A0A2B4SCM4_STYPI	PiggyBac transposable element-derived protein 1	PGBD1 AWC38_SpisGene8778	Stylophora pistillata (Smooth cauliflower coral)	1155						PGBD1
XP_022804791.1	A0A2B4RHD3	unreviewed	A0A2B4RHD3_STYPI	Putative nuclease HARBI1	HARBI1 AWC38_SpisGene19145	Stylophora pistillata (Smooth cauliflower coral)	428	nucleus [GO:0005634]		GO:0004518; GO:0005634; GO:0046872	metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	HARBI1
